case,weighta,weightq,a049,a062,a071,a121,a124,a1661,a172,b010,b1661,b216,b260,g018,g019,c11111,c11121,c11122,c11131,c11141,c11142,c11151,c11211,c11221,c11231,c11241,c11251,c11252,c11253,c11311,c11321,c11331,c11341,c11411,c11421,c11431,c11441,c11451,c11461,c11471,c11511,c11521,c11522,c11531,c11541,c11551,c11611,c11621,c11631,c11641,c11651,c11661,c11671,c11681,c11691,c11711,c11721,c11731,c11741,c11751,c11761,c11771,c11781,c11811,c11821,c11831,c11841,c11851,c11861,c11911,c11921,c11931,c11941,c12111,c12121,c12131,c12211,c12221,c12231,c12241,c21111,c21211,c21212,c21213,c21214,c21221,c21311,c22111,c22121,c22131,cb1111,cb1112,cb1113,cb1114,cb1115,cb1116,cb111c,cb111d,cb111e,cb111f,cb111g,cb111h,cb111i,cb111j,cb1121,cb1122,cb1123,cb1124,cb1125,cb1126,cb1127,cb1128,cb112b,cb1213,c31111,c31211,c31212,c31221,c31222,c31231,c31232,c31233,c31234,c31311,c31312,c31313,c31314,c31315,c31411,c31412,c31413,c32111,c32121,c32131,c32211,c41211,c43111,c43112,c44211,c45112,c45114,c45212,c45214,c45222,c45312,c45411,c45412,c45511,c51113,c51114,c51212,c51311,c52111,c52112,c53111,c53121,c53122,c53131,c53132,c53133,c53141,c53151,c53161,c53171,c53211,c53311,c53312,c53313,c53314,c54111,c54121,c54131,c54132,c54141,c55111,c55112,c55211,c55212,c55213,c55214,c56111,c56112,c56121,c56122,c56123,c56124,c56125,c56211,c56221,c56222,c56223,c61111,c61112,c61211,c61311,c61312,c61313,c62111,c62112,c62113,c62114,c62211,c62212,c62311,c62321,c62322,c62331,c63111,c71112,c71122,c71212,c71311,c71411,c72111,c72112,c72113,c72114,c72115,c72211,c72212,c72213,c72313,c72314,c72411,c72412,c72413,c72414,c73112,c73212,c73213,c73214,c73311,c73312,c73411,c73512,c73513,c73611,c81111,c82111,c82112,c82113,c83112,c83114,c83115,c91111,c91112,c91113,c91121,c91122,c91123,c91124,c91125,c91126,c91127,c91128,c91211,c91221,c91311,c91411,c91412,c91413,c91511,c92111,c92112,c92114,c92116,c92117,c92211,c92221,c92311,c93111,c93112,c93113,c93114,c93211,c93212,c93311,c93312,c93313,c93411,c93412,c93511,c94111,c94112,c94113,c94115,c94211,c94212,c94221,c94232,c94236,c94238,c94239,c94241,c94242,c94243,c94244,c94245,c94246,c94311,c94312,c94313,c94314,c94315,c94316,c94319,c9431a,c9431b,c9431c,c9431d,c9431e,c9431f,c9431i,c95111,c95211,c95212,c95311,c95411,ca1113,ca2113,ca3113,ca4113,ca5113,cb2114,cc1111,cc1211,cc1311,cc1312,cc1313,cc1314,cc1315,cc1316,cc1317,cc3111,cc3112,cc3211,cc3221,cc3222,cc3223,cc3224,cc4111,cc4112,cc4121,cc4122,cc5213,cc5412,cc5413,cc6212,cc6214,cc7111,cc7112,cc7113,cc7114,cc7115,cc7116,ck1211,ck1313,ck1314,ck1315,ck1316,ck1411,ck2111,ck3111,ck3112,ck4111,ck4112,ck5111,ck5113,ck5115,ck5116,ck5212,ck5213,ck5214,ck5215,ck5216,ck5221,ck5222,ck5223,ck5316,a054,a056,a060,a091,a093,a094,p344,p348,p352,p396,sexhrp,a055,a190,gor,gorx,p389,year,p600,p601,p602,p603,p604,p605,p606,p607,p608,p609,p610,p611,p612,p620p,p630p,incanon,a070p,p396p,incranges,se,pt,ft,re,ue,ua,Childband,foodban,ageban
6075,3.63025,14.521,1,One man,Highest age - all male,Local Authority rented unfurnished,1,No home computer,No internet connection,0,0,0,0,1,0,0,1.235,1.75,0.625,0.75,0,0,0,1.25,1.75,1.5,0.5,0,0,0,0,0,0,2.42,0.75,0,0,0,0.73,0.625,0,0,0,0,0.23,0,0.795,0.49,0,0.42,0,1.925,0,0,0.5,0.25,0,0.315,1.545,0.42,0,1.285,0.245,0.365,0,0,5.985,0,0,0.375,0,0,2.025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.495,0,0,0,0,0,0,0,0,7.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0,0,0,0,0,0,0,0,0.69,0.495,0.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.37,0,0,0,0,1.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60 - 69.999 pw,Occupations not stated,Unemployed,Occupation not stated,55,55,55,57,Male,January,Not recorded,Scotland,Scotland,55,2004,85.845,31.68,1.645,3.495,12.5,2.92,0,9,0,21.27,0,0,3.335,2.12,87.965,100,57,57,Low income,0,0,0,0,1,0,No children,From £ 20 to £ 40,More than 55 years
6080,3.795075,15.1803,3,Three adults,Highest age - all male,Local Authority rented unfurnished,2,No home computer,No internet connection,0,0,0,0,3,0,0,0.735,1.315,0,0,0,0.96,4.14,1.47,0,0.74,0.945,0,0,0,0,0,0,0,0.755,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0.63,0,0.2,0.69,1.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,5.07,9.5,0,0,0,0,0,0,1,0,1.05,2.4,0,0,0,0,0,0,0,0,0,15.25,1.775,0,16.235,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.69,0,0,0,0,0,0,0,0,8.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,1.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,78.47,3,3,425 - 449.999 pw,Lower supervisory,Fulltime employee,Lower Supervisory & Technical,1051.155897,0,708.05,44,Female,November,Not recorded,Scotland,Scotland,824.77,2004,220.1892308,21.735,5.07,1.5,67.39923077,23.065,8.095,10.35,5.73,10.645,0,47.21,19.39,121.88,342.0692308,1051.155897,45,44,High income,0,0,1,0,0,0,No children,From £ 20 to £ 40,From 30 to 55 years
6086,3.01905,12.0762,1,One woman,Highest age - all female,Owned outright,0,No home computer,No internet connection,0,0,0,0,1,0,0,0.17,0,0,0.495,0,0,1.25,0,0,0,0.65,0.7,0,0,0,0,0,0.315,0.35,0,0,0.715,0.825,0,0.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0.32,0.375,0,0,0.81,0,0,0.745,0,0,0,0,0,0,0,0,0.285,0,0,0,0,0,0,0,0,5.925,0,0,16.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,3.15,0,0,10.775,0,0,0,35.245,0.875,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,7.5,0,11.25,0,0,0,0,0,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74,0,0,0,0,0,0,0,0,0,0,8.99,0,0,0,0,0,0,0,0,5.835,0,6.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.5,0.275,0,0,1.495,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,1,1,300 - 319.999 pw,Lower supervisory,Fulltime employee,Lower Supervisory & Technical,304.517,89.042,304.517,61,Female,November,Not recorded,Scotland,Scotland,258.422,2004,232.695,12.25,5.925,44.62,29.18,38.38,2.17,2.5,9.65,43.2,0,30.77,14.05,19.81,252.505,307.9427692,61,61,Medium-low income,0,0,1,0,0,0,No children,£ 20 or less,More than 55 years
6097,2.551025,10.2041,4,1 man; 1 woman; 2c,Highest age - all male,Local Authority rented unfurnished,0,No home computer,Internet connection in household,0,0,0,0,2,2,0,2.095,0.5,1.7,0.5,1,2,0.645,0,0,0,0.5,1.045,0.5,0,0,0,0,1.71,0,0,0,3.445,1.09,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1.55,0,2.5,0.315,0,0,0.645,0,0,0,0,0.5,1.5,0.5,0,0,0,1.565,0.5,0,0,0,0,0,0,0,0,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,2.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70 - 79.999 pw,Occupations not stated,Unoc - under min ni age,Occupation not stated,163.55,163.55,163.55,21,Male,July,Not recorded,Scotland,Scotland,163.55,2004,133.605,29.105,2.01,0,15,2.495,0,0,0,80.2,0,1,3.795,28.11,161.715,213.63,21,21,Low income,0,0,0,0,0,1,Two children,From £ 20 to £ 40,Less than 30 years
6099,2.879175,11.5167,2,One man and 1 woman,Highest age - mixed sex,Owned with mortgage,1,Home computer present,Internet connection in household,0,0,0,0,2,0,0,3.345,1.24,0,1.77,0,0.73,9.24,0,0,0,0,2.735,0,0,0,0,0,0,1.765,0.295,0.54,0.83,0,0.74,0.905,0,0,0,0,0,0.445,1.13,0,0,0,0,0.495,0.325,0,0.495,0.345,0.26,0.24,0,0.375,1.14,2.585,0,0,0.195,0,1.49,0,0.295,0,0.765,0,1.445,0,0,0,1.59,0.5,0,0,0,0,0,0,0,0,0,0,0,29.53,0,0,0,0,0,4.75,0,0,0,1.305,0,9.78,0,0,0,0,0.195,4.75,1.79,4.9,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0.795,1.445,0.325,0,0,0.395,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.11,0,0,0,0,0,0,0,0,39.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,4.4,0,1.67,0,0,0,0,0,0,0,0,0,0,1.075,0.495,0,0.635,0.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.16,0,2,2,200 - 219.999 pw,Lower managerial,Fulltime employee,Lower Managerial & Professionals,361.22,0,350.61,53,Female,July,Home Computer access to NET,Scotland,Scotland,322.75,2004,368.02,45.735,0,0,24.865,40.45,0,62.93,11.92,82.67,0,79.5,19.95,49.67,417.69,361.22,53,53,Medium-low income,0,0,1,0,0,0,No children,From £ 40 to £ 60,From 30 to 55 years
6157,3.791575,15.1663,1,One woman,Highest age - all female,Owned outright,1,No home computer,No internet connection,0,0,0,0,1,0,0,0.885,1.74,0,0.825,1.67,2.17,2.205,0,0,0,0,0.995,0,0,0,0,0.445,0,0.15,0,1.09,0,0.24,0,0.41,0,0,0,0,0,0,0.265,0,0,0,0.185,0.445,0,0,0,0,0,0.495,0,0,0.395,0.575,0,0,0,0,1.5,0,0.4,0.225,0,0,0,0,0,0,0.495,0,0,0,1.745,0,0,0,0,0,0,0,0,4.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1.26,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.18,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,19.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0,320 - 339.999 pw,Not classifiable for other reasons,Ret unoc over min ni age,Not classifiable for other reasons,315.5145,98.962,315.5145,76,Female,February,Not recorded,Scotland,Scotland,273.872,2004,158.495,18.22,1.745,24.99,16.73,0,0,35.68,2.08,16.68,0,4.765,37.605,33.05,191.545,321.4740673,76,76,Medium-low income,0,0,0,1,0,0,No children,£ 20 or less,More than 55 years
6195,3.86075,15.443,2,One man and 1 woman,Highest age - all male,Owned with mortgage,1,Home computer present,Internet connection in household,0,0,0,0,2,0,1.065,4.29,1.305,0,0.34,5.235,0.99,1.895,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,1.37,0.525,0.875,0,0,0,0,0,0,0.08,0.21,0.57,0,0,2.695,0,0.59,0,0.685,1.23,2.415,1.085,0,2.235,0.65,3.475,0,0,0.36,0.185,0,0,2.48,0,0.635,0,0,0,0,0,3.32,0,0,0,7.555,0,0,0,17.74,0,0,0,0,28.225,0,0,0,0,0,0,2.55,0,0,0,0,12.8,0,0,0,0,0.845,0,5.43,11.9,0,0,0,0,19.995,0,30.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,2.6,0.44,3.295,0,0,0.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.01,0,0,0,0,0,0,1.485,0,25.05,0,0,0,0,0,0,0,0,7.8,3.225,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.245,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,1.865,1.06,0.9,0,0.245,0,0,0,0,0,0,0,0,0,5.17,0.995,1.195,0,3.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,500 - 524.999 pw,Higher managerial,Fulltime employee,Large Employers & Higher Managerial,863.36,0,863.36,36,Male,January,Home Computer access to NET,Scotland,Scotland,651.88,2004,557.01,46.605,25.295,53.98,20.64,11.33,0,239.3,3.25,46.115,0,70.98,39.515,215.99,773,863.36,36,36,High income,0,0,1,0,0,0,No children,From £ 40 to £ 60,From 30 to 55 years
6205,2.8655,11.462,4,1 man; 1 woman; 2c,Highest age - all male,Rented furnished,0,Home computer present,Internet connection in household,34.62,9,0,1.2,2,2,0.085,4.605,4.58,0.585,1.375,0.455,1.365,4.34,1.495,0,5.295,0.9,1.495,0,0,0,0,0,0,2.385,0,0,2.21,0.6,0.6,0.58,0,0,0,0.245,0,0,0,0,0,0,0,0,0.165,0.07,0.495,0,0.105,0.615,0,0.43,1.295,3.54,0,0,5.86,0.5,3,0,0.425,0,0.115,0,1.16,0.845,0,0.145,4.82,0,0,1.095,5.585,0,0,0,0,0.215,1.125,0,0,5.02,0,0,0.5,2.55,0,0,0,0,0,0,0,6.25,0,0,0,0,4.725,1.05,2.675,11.1,0,0,0,0,0,0,9.995,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,27.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4,14,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.48,0,0,0,0,0,0,0,0,0,0,0,0,14.995,0,0,9.995,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8.5,4.575,0,0,0,0,0,0,0,0,0,0,0,1.345,2.995,0,0,4.75,8.5,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,320 - 339.999 pw,Routine production,Fulltime employee,Routine,573.09,71.5,570.21,47,Male,November,Home Computer access to NET,Scotland,Scotland,496.7464,2004,404.64,63.795,8.02,38.24,61.4,15.55,0,46.4,29,78.925,0,35.07,28.24,39.95,444.59,573.09,47,47,Medium-high income,0,0,1,0,0,0,Two children,More than £ 60,From 30 to 55 years
6225,5.7719,23.0876,4,1 man; 1 woman; 2c,Highest age - all male,Owned with mortgage,2,Home computer present,Internet connection in household,0,0,0,3.6,2,2,0.445,2.025,5.415,0.325,1.885,0,6.47,0.745,0,0,1.495,0,0,0,2.325,0,0,2.805,2,2.24,0,4.825,1.67,2.265,0.79,0,0.42,0,0,0,0,0.915,0.57,0,0.4,0.895,0,0,0,0.89,1.14,0.59,1.615,0.785,0,2.535,1.365,0.325,0.34,0,2.895,0.5,2.79,0,2.905,0,0.495,0,0,1.25,0,0.39,1.16,1.645,0.425,0,0,0,0,0,0,0,0,0,0,6.75,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0.41,0.075,0,0.325,0,0.84,3.5,0,0,2.75,0,0,0,4.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.115,1.96,0.995,0,0,0,1.125,0,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,56.015,0,0,0,0,18,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.75,4.125,0,0,0.77,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,2.165,0,0.625,0,0,0,0,0,0,0,0,0,1.42,0.495,0,0,0,0.525,0.295,10,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,2,2,675 - 699.999 pw,Higher supervisory,Fulltime employee,Lower Managerial & Professionals,828.35,36.8,828.35,40,Male,April,Home Computer access to NET,Scotland,Scotland,677.63,2004,834.7,68.005,0,12.495,23.58,12.77,77.53,98.735,15.925,405.785,0,85.88,33.995,115.3535,950.0535,828.35,40,40,Medium-high income,0,0,1,0,0,0,Two children,More than £ 60,From 30 to 55 years
6243,3.157325,12.6293,2,One man and 1 woman,Highest age - all male,Owned outright,1,No home computer,No internet connection,0,0,0,0,2,0,0,1.98,1.215,0,0.495,1.315,0.135,0,2.29,0,2.215,0.585,0,0,0,0,0,0.995,0.635,0,0,0,0.485,0.97,0,0,0,0,0,0,0,0,0.12,0,0.495,0,0,0.495,1.22,0,0.595,0.4,2.335,1.465,0,0.645,0,0.675,0,0,3.185,0.495,0,0,0.595,0,0.345,0,0.5,0,0,0,0.915,0.19,0,0,6.49,0,0,0,0,0,0,0,0,5.05,0,0,0,0,0,1.5,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.455,0,0,12.5,0,0,0,0,0,0.995,0,0,5.02,0,0,0,0,0,0,0,0,0,2.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.345,2.325,1.335,0.745,0,0,0,0,0,0,0,0,1.725,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.495,0,0,1.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.245,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,1.5,4.95,0,0,1,0,0,0,0,0,0,0,0,0,1.34,0,0.195,0,3.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260 - 279.999 pw,Not classifiable for other reasons,Ret unoc over min ni age,Not classifiable for other reasons,265.982,143.432,265.982,72,Male,October,Not recorded,Scotland,Scotland,252.972,2004,292.16,31.735,6.49,26.97,14.645,75.98,6.225,81.255,3.37,19.015,0,7.425,19.05,28.33,320.49,265.982,72,72,Low income,0,0,0,1,0,0,No children,From £ 20 to £ 40,More than 55 years
6268,1.24585,4.9834,2,One man and 1 woman,Highest age - all male,Owned outright,1,Home computer present,Internet connection in household,0,0,0,0,2,0,0.495,1.48,3.745,0.245,3.135,2.14,1.465,0,0,0,3.33,0,1.095,0.145,2.985,0,0,0.29,0,0.7,0,0.65,2.64,0.125,0.45,0.545,1.24,0,0.995,0,0,0,0.665,0,0,0.345,0,0,0.89,0,0.57,0.64,1.09,0.51,0,0.605,1.44,0.445,0,0.725,1.035,0.395,1.645,0,0,0.19,1.77,0,0,0.84,0,0,0,0,0,0,1.395,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225,0,0,0,0,0,16.07692308,0,21.15384615,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495,1.24,0.195,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,240 - 259.999 pw,Not classifiable for other reasons,Ret unoc over min ni age,Not classifiable for other reasons,347.798359,106.474,345.824,67,Male,September,Home Computer access to NET,Northern Ireland,Northern Ireland,314.564,2004,254.0707692,46.01,1.395,39.48076923,19.2,22.69,0,25.5,6.59,61.6,0,8.225,23.38,17.05,271.1207692,347.798359,67,67,Medium-low income,0,0,0,1,0,0,No children,From £ 40 to £ 60,More than 55 years
